Study,Sample,Sample_Type,DPN,Sample_Vol,InteritE_DNA,IntegritE_Cq,IntegritE_Total,IntegritE_Copies,IntegritE_SE,I6S_DNA,I6S_Cq,I6S_Total,I6S_Copies,I6S_SE,NosZI_DNA,NosZI_Cq,NosZI_Total,NosZI_Copies,NosZI_SE,NosZII_DNA,NosZII_Total,NosZII_Copies,NosZII_SE,Notes
BIOS2020,D1,gDNA,41,,"1,272,391.02",15.74,,,,"1,683,505.07",16.72,,,,"15,460.39",20.25,,,,"255,896.84",,,,
BIOS2020,D1,gDNA,41,,"1,019,146.14",16.07,,,,"1,344,265.95",17.06,,,,"12,751.04",20.54,,,,"242,794.96",,,,
BIOS2020,D1,gDNA,41,,,,,,,"1,565,294.82",16.83,,,,"15,256.32",20.27,,,,"237,189.31",,,,
BIOS2020,D1,gDNA,41,,,,,,,"1,398,722.41",17,,,,"13,536.73",20.45,,,,"221,137.01",,,,
BIOS2020,D1,gDNA,41,,,,,,,"1,417,360.45",16.98,,,,"14,955.25",20.3,,,,"227,689.04",,,,
BIOS2020,D1,gDNA,41,,,,,,,"1,291,929.64",17.12,,,,"11,389.24",20.71,,,,"233,070.17",,,,
PCS2019,1,gDNA,42,0.74,"763,211.69",16.5,35297326,47750711,5629,"2,729,259.56",15.99,137482509,185988242,2887169,"67,571.74",18.03,2803100,3792073,135391,"242,794.96",15161661,20510904,730856,
PCS2019,1,gDNA,42,,"713,571.84",16.6,,,,"2,623,001.30",16.05,,,,"58,383.18",18.25,,,,"327,026.39",,,,
PCS2019,1,gDNA,42,,"623,767.97",16.8,,,,"2,994,237.80",15.85,,,,"56,101.66",18.31,,,,"308,476.02",,,,
PCS2019,1,gDNA,42,,"723,234.55",16.58,,,,"2,802,479.20",15.95,,,,"53,909.30",18.37,,,,"310,282.69",,,,
PCS2019,1,gDNA,42,,,,,,,"2,623,001.30",16.05,,,,"57,612.54",18.27,,,,"336,715.81",,,,
PCS2019,1,gDNA,42,,,,,,,"2,765,627.08",15.97,,,,"49,778.25",18.49,,,,"284,259.80",,,,
PCS2019,1,gDNA,42,,,,,,,"2,675,602.99",16.02,,,,"55,361.14",18.33,,,,"327,026.39",,,,
PCS2019,1,gDNA,42,,,,,,,"2,783,992.16",15.96,,,,"49,778.25",18.49,,,,"289,283.63",,,,
BIOS2020,R3,cDNA,43,2.8,"10,872,612.20",12.55,1.47E+11,52471238103,1474,"25,902,230.62",12.59,3.23E+11,1.15E+11,2280994479,31.42,29.58,396314,141541,9490,223.6,2212884,790316,45985,
BIOS2020,R3,cDNA,43,,"11,707,440.06",12.44,,,,"27,310,665.27",12.51,,,,36.12,29.37,,,,186.58,,,,
BIOS2020,R3,cDNA,43,,"13,037,479.68",12.28,,,,"27,130,505.78",12.52,,,,37.59,29.31,,,,193.23,,,,
BIOS2020,R3,cDNA,43,,"11,396,697.41",12.48,,,,"25,059,085.61",12.64,,,,31.63,29.57,,,,189.88,,,,
BIOS2020,R3,cDNA,43,,,,,,,"26,074,233.78",12.58,,,,38.35,29.28,,,,177.02,,,,
BIOS2020,R3,cDNA,43,,,,,,,"27,310,665.27",12.51,,,,30.6,29.62,,,,146.85,,,,
BIOS2020,R3,cDNA,43,,,,,,,"23,766,766.88",12.72,,,,28.06,29.75,,,,169.93,,,,
BIOS2020,R3,cDNA,43,,,,,,,"23,924,589.54",12.71,,,,19.87,30.27,,,,129.15,,,,
PCS2019,91,cDNA,44,5.06,"5,700,903.48",13.51,29738426174,5873096904,1255,"18,604,487.30",13.09,90331267485,17839689441,159907389,201.88,26.78,908526,179427,7708,109.67,508951,100514,11919,
PCS2019,91,cDNA,44,,"6,056,619.22",13.42,,,,"19,230,459.09",13.04,,,,197.9,26.81,,,,89.92,,,,
PCS2019,91,cDNA,44,,"7,460,586.02",13.11,,,,"18,604,487.30",13.09,,,,226.02,26.61,,,,114.91,,,,
PCS2019,91,cDNA,44,,"5,512,391.21",13.56,,,,"18,728,029.96",13.08,,,,170.99,27.03,,,,104.66,,,,
PCS2019,91,cDNA,44,,,,,,,"17,880,158.78",13.15,,,,191.43,26.86,,,,185.49,,,,
PCS2019,91,cDNA,44,,,,,,,"18,852,393.00",13.07,,,,155.8,27.17,,,,83.83,,,,
PCS2019,91,cDNA,44,,,,,,,"18,852,393.00",13.07,,,,200.54,26.79,,,,69.14,,,,
PCS2019,91,cDNA,44,,,,,,,"19,486,705.90",13.02,,,,166.5,27.07,,,,88.87,,,,
PCS2019,10,cDNA,45,5.13,"1,805,089.03",15.22,8834695642,1721995057,165,"5,186,335.32",15.02,24548027677,4784724233,112243824,46.81,28.98,201493,39274,1666,53.79,328985,64123,4551,
PCS2019,10,cDNA,45,,"1,879,416.41",15.16,,,,"5,396,434.71",14.96,,,,40.71,29.19,,,,55.38,,,,
PCS2019,10,cDNA,45,,"1,983,302.07",15.08,,,,"5,468,342.47",14.94,,,,49.69,28.89,,,,77.7,,,,
PCS2019,10,cDNA,45,,"2,064,967.66",15.02,,,,"5,689,866.03",14.88,,,,49.04,28.91,,,,64.84,,,,
PCS2019,10,cDNA,45,,,,,,,"5,842,511.79",14.84,,,,46.5,28.99,,,,93.67,,,,
PCS2019,10,cDNA,45,,,,,,,"5,255,443.49",15,,,,46.5,28.99,,,,75.03,,,,
PCS2019,10,cDNA,45,,,,,,,"5,468,342.47",14.94,,,,35.88,29.38,,,,67.15,,,,
PCS2019,10,cDNA,45,,,,,,,"4,665,201.05",15.18,,,,37.59,29.31,,,,88.36,,,,
PCS2019,111,cDNA,46,4.56,"1,904,866.21",15.14,7153981025,1570129496,938,"9,042,932.40",14.18,34889331807,7657382483,119413556,52.75,28.8,206845,45398,2538,324.93,1080751,237199,16701,
PCS2019,111,cDNA,46,,"1,127,320.57",15.92,,,,"8,576,580.55",14.26,,,,43.22,29.1,,,,269.55,,,,
PCS2019,111,cDNA,46,,"2,426,670.48",14.78,,,,"9,347,193.43",14.13,,,,66.12,28.46,,,,245.5,,,,
PCS2019,111,cDNA,46,,"1,866,819.31",15.17,,,,"9,224,279.46",14.15,,,,40.71,29.19,,,,254.26,,,,
PCS2019,111,cDNA,46,,,,,,,"9,409,263.25",14.12,,,,55.27,28.73,,,,269.55,,,,
PCS2019,111,cDNA,46,,,,,,,"8,924,019.40",14.2,,,,60.25,28.6,,,,198.96,,,,
PCS2019,111,cDNA,46,,,,,,,"8,352,502.49",14.3,,,,55.27,28.73,,,,267.98,,,,
PCS2019,111,cDNA,46,,,,,,,"8,576,580.55",14.26,,,,50.02,28.88,,,,382.65,,,,
PCS2019,86,gDNA,47,0.72,"607,211.72",16.84,30360628,42379436,6986,"1,947,381.28",16.5,100656459,140503153,3739062,"33,192.05",19.1,1696809,2368522,46656,"301,353.92",16057707,22414443,352694,
PCS2019,86,gDNA,47,,"595,083.56",16.87,,,,"2,053,270.21",16.42,,,,"35,003.93",19.02,,,,"310,282.69",,,,
